Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Other,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Other,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_LatinX,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown
20201108,RI,36380,11097,3022,11370,482,94,0,10315,233,428,9654,11370,15356,9654,1224,803,63,114,14,1,0,229,0,0,229,114,881,229,,,,,,,,,,,,,
20201108,SC,185688,78613,45727,,1768,,,59580,,14044,45536,13523,103643,68522,4036,2004,1338,,27,,,667,,106,561,120,2923,993,,,,,,,,,,,,,
20201108,SD,55404,36484,1606,2247,928,6973,,7166,,1244,5922,2247,47235,5922,536,399,5,7,8,83,,34,,6,28,7,501,28,,,,,,,,,,,,,
20201108,TN,281851,162480,45190,,2449,352,196,71184,,29405,41779,28705,188114,65032,3595,2526,830,,27,4,3,205,,140,65,170,3315,110,,,,,,,,,,,,,
20201108,TX,956234,18001,9737,23455,857,,,904184,,283,903901,23455,28878,903901,18743,5918,2013,10209,338,,,265,,99,166,10209,8368,166,,,,,,,,,,,,,
20201108,UT,132621,72517,2148,36012,2828,1939,4386,26100,,12723,13377,36012,83232,13377,659,381,9,129,29,41,30,84,,49,35,129,495,35,,,,,,,,,,,,,
20201108,VA,192175,64187,37022,41280,5955,252,,43479,1791,4602,37086,41280,113809,37086,3707,2058,982,334,162,7,,164,6,49,109,334,3264,109,,,,,,,,,,,,,
20201108,VI,1405,,,,,,,1405,,,1405,,,1405,23,,,,,,,23,,,23,,,23,,,,,,,,,,,,,
20201108,VT,2392,1900,205,,93,3,,191,,45,146,72,2100,220,59,56,,,2,,,1,,1,0,0,59,0,,,,,,,,,,,,,
20201108,WA,117331,33074,4556,29248,3902,1184,1726,43641,2029,1390,40222,29248,47861,40222,2439,1653,74,344,169,61,41,97,30,43,24,344,2071,24,,,,,,,,,,,,,
20201108,WI,281910,209081,20056,,5858,3654,,43261,,17788,25473,34323,200515,47072,2392,1935,266,,54,27,,110,,44,66,193,2090,109,,,,,,,,,,,,,
20201108,WV,28404,20478,1138,,,,,6788,,6788,0,,,,502,398,14,,,,,90,,90,0,,,,,,,,,,,,,,,,
20201108,WY,17310,9093,146,1557,88,1013,44,5365,,602,4763,1557,10986,4763,114,75,1,5,1,16,,16,,0,16,5,93,16,,,,,,,,,,,,,
